request_count,distinct_paths,path_repeat_ratio,path_entropy,static_asset_ratio,error_rate,not_found_rate,auth_failure_rate,auth_failure_count,distinct_usernames,distinct_user_agents,requests_per_minute,interval_cv,max_depth,distinct_depths,label,profile
29.0,8.0,0.7241379310344828,2.746419154442154,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,1.0,30.003903559781087,1.9252374314618514,3.0,4.0,0,human
27.0,8.0,0.7037037037037037,2.7740007075203565,0.7407407407407407,0.0,0.0,0.0,0.0,0.0,1.0,37.12923722965383,1.7537524651976901,3.0,3.0,0,human
13.0,6.0,0.5384615384615384,2.5073801024236357,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,1.0,30.430170208259717,2.09333648216135,3.0,3.0,0,human
14.0,7.0,0.5,2.6455933144511468,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,1.0,48.92758502646598,2.2121277594060476,3.0,3.0,0,human
18.0,7.0,0.6111111111111112,2.614369445886757,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,1.0,29.86392519035206,2.0798050704690265,3.0,4.0,0,human
15.0,8.0,0.4666666666666667,2.789898095464287,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,28.071119292136025,1.9976307188941478,3.0,4.0,0,human
22.0,8.0,0.6363636363636364,2.80649852879183,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,1.0,31.87335108164147,1.843071852889532,3.0,4.0,0,human
15.0,7.0,0.5333333333333333,2.656564762130954,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,57.1063283190465,1.6924535019579277,3.0,3.0,0,human
15.0,8.0,0.4666666666666667,2.7068905956085185,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,29.848153118127154,1.9845897497942113,3.0,4.0,0,human
17.0,8.0,0.5294117647058824,2.74894004700543,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,1.0,28.41106830835386,1.9799896382764683,3.0,4.0,0,human
13.0,7.0,0.46153846153846156,2.6612262562697895,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,1.0,31.490516566145835,2.120450545029123,3.0,3.0,0,human
30.0,7.0,0.7666666666666666,2.6690429986162765,0.7666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,39.83640522432766,2.0131492372231348,3.0,4.0,0,human
16.0,7.0,0.5625,2.625,0.75,0.0,0.0,0.0,0.0,0.0,1.0,53.309817308605446,1.81195112873144,3.0,3.0,0,human
20.0,8.0,0.6,2.765957320949175,0.75,0.0,0.0,0.0,0.0,0.0,1.0,31.030300150579826,1.9398894995240072,3.0,3.0,0,human
30.0,8.0,0.7333333333333334,2.7357096652829433,0.7666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,36.15219875822599,2.0497086520844108,3.0,4.0,0,human
